data,بدون_تشكيل,tag,المحذوف
,ملكت,اسم,مَلَكَتْ
أَيْمَانُكُمْ,ايمانكم,,
فَكَاتِبُوهُمْ,فكاتبوهم,,
,ان,حرف,إِنْ
عَلِمْتُمْ,علمتم,,
,فيهم,حرف_جر,فِيهِمْ
,None,اسم,خَيْرًا
وَآتُوهُمْ,واتوهم,,
,,فعل,مِنْ
مَالِ,مال,,
اللَّهِ,,اسم,اللَّهِ
الَّذِي,,اسم,الَّذِي
آتَاكُمْ,اتاكم,,
,ولا,حرف,وَلَا
تُكْرِهُوا,تكرهوا,,
فَتَيَاتِكُمْ,فتياتكم,,
,علي,حرف_جر,عَلَى
,البغاء,اسم,الْبِغَاءِ
,ان,حرف,إِنْ
أَرَدْنَ,اردن,,
,None,اسم,تَحَصُّنًا
لِتَبْتَغُوا,لتبتغوا,,
,عرض,فعل,
الْحَيَاةِ,الحياه,اسم,الْحَيَاةِ
الدُّنْيَا,الدنيا,اسم,الدُّنْيَا
,ومن,حرف_جر,وَمَنْ
,يكرههن,اسم,يُكْرِهْهُنَّ
,فان,حرف,فَإِنَّ
اللَّهَ,,اسم,اللَّهَ
,,فعل,مِنْ
بَعْدِ,بعد,,
إِكْرَاهِهِنَّ,اكراههن,,
,None,اسم,غَفُورٌ
,None,اسم,رَحِيمٌ
وَلَقَدْ,ولقد,,
أَنْزَلْنَا,انزلنا,,
,اليكم,حرف_جر,إِلَيْكُمْ
,None,اسم,آيَاتٍ
,None,اسم,مُبَيِّنَاتٍ
,None,اسم,وَمَثَلًا
مِنَ,,اسم,من
الَّذِينَ,,اسم,الَّذِينَ
خَلَوْا,خلوا,,
,,فعل,مِنْ
قَبْلِكُمْ,قبلكم,,
,None,اسم,وَمَوْعِظَةً
لِلْمُتَّقِينَ,للمتقين,,
اللَّهُ,,اسم,اللَّهُ
نُورُ,نور,,
السَّمَاوَاتِ,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
مَثَلُ,مثل,,
نُورِهِ,نوره,,
,None,اسم,كَمِشْكَاةٍ
,فيها,حرف_جر,فِيهَا
,None,اسم,مِصْبَاحٌ
الْمِصْبَاحُ,المصباح,اسم,الْمِصْبَاحُ
,في,حرف_جر,فِي
,None,اسم,زُجَاجَةٍ
الزُّجَاجَةُ,الزجاجه,اسم,الزُّجَاجَةُ
كَأَنَّهَا,كانها,,
,None,اسم,كَوْكَبٌ
,None,اسم,دُرِّيٌّ
يُوقَدُ,يوقد,,
,,فعل,مِنْ
,None,اسم,شَجَرَةٍ
,None,اسم,مُبَارَكَةٍ
,None,اسم,زَيْتُونَةٍ
,لا,حرف,لَا
,None,اسم,شَرْقِيَّةٍ
,ولا,حرف,وَلَا
,None,اسم,غَرْبِيَّةٍ
يَكَادُ,يكاد,,
زَيْتُهَا,زيتها,,
يُضِيءُ,يضيء,,
,ولو,حرف,وَلَوْ
,,فعل,لَمْ
تَمْسَسْهُ,تمسسه,,
,None,اسم,نَارٌ
,None,اسم,نُورٌ
,علي,حرف_جر,عَلَىٰ
,None,اسم,نُورٍ
,يهدي,فعل,
اللَّهُ,,اسم,اللَّهُ
لِنُورِهِ,لنوره,,
,,فعل,مَنْ
يَشَاءُ,يشاء,,
وَيَضْرِبُ,ويضرب,,
اللَّهُ,,اسم,اللَّهُ
الْأَمْثَالَ,الامثال,اسم,الْأَمْثَالَ
لِلنَّاسِ,للناس,,
وَاللَّهُ,والله,,
بِكُلِّ,بكل,,
,None,اسم,شَيْءٍ
,None,اسم,عَلِيمٌ
,في,حرف_جر,فِي
,None,اسم,بُيُوتٍ
,اذن,فعل,
اللَّهُ,,اسم,اللَّهُ
,ان,حرف,أَنْ
تُرْفَعَ,ترفع,,
وَيُذْكَرَ,ويذكر,,
,فيها,حرف_جر,فِيهَا
,اسمه,اسم,اسْمُهُ
يُسَبِّحُ,يسبح,,
,له,حرف_جر,لَهُ
,فيها,اسم,فِيهَا
بِالْغُدُوِّ,بالغدو,,
وَالْآصَالِ,والاصال,,
,None,اسم,رِجَالٌ
,لا,حرف,لَا
تُلْهِيهِمْ,تلهيهم,,
,None,اسم,تِجَارَةٌ
,ولا,حرف,وَلَا
,None,اسم,بَيْعٌ
,عن,حرف_جر,عَنْ
,ذكر,اسم,ذِكْرِ
اللَّهِ,,اسم,اللَّهِ
وَإِقَامِ,واقام,,
الصَّلَاةِ,,اسم,الصَّلَاةِ
وَإِيتَاءِ,وايتاء,,
الزَّكَاةِ,,اسم,الزَّكَاةِ
يَخَافُونَ,يخافون,,
,None,اسم,يَوْمًا
تَتَقَلَّبُ,تتقلب,,
,فيه,حرف_جر,فِيهِ
,القلوب,اسم,الْقُلُوبُ
وَالْأَبْصَارُ,والابصار,,
لِيَجْزِيَهُمُ,ليجزيهم,,
اللَّهُ,,اسم,اللَّهُ
أَحْسَنَ,احسن,,
مَا,,اسم,ما
عَمِلُوا,عملوا,,
وَيَزِيدَهُمْ,ويزيدهم,,
,,فعل,مِنْ
فَضْلِهِ,فضله,,
وَاللَّهُ,والله,,
يَرْزُقُ,يرزق,,
,,فعل,مَنْ
يَشَاءُ,يشاء,,
بِغَيْرِ,بغير,,
,None,اسم,حِسَابٍ
وَالَّذِينَ,,اسم,والذين
كَفَرُوا,كفروا,,
أَعْمَالُهُمْ,اعمالهم,,
,None,اسم,كَسَرَابٍ
,None,اسم,بِقِيعَةٍ
يَحْسَبُهُ,يحسبه,,
الظَّمْآنُ,الظمان,اسم,الظَّمْآنُ
,None,اسم,مَاءً
,حتي,حرف_جر,حَتَّىٰ
,اذا,اسم,إِذَا
جَاءَهُ,جاءه,,
,,فعل,لَمْ
يَجِدْهُ,يجده,,
,None,اسم,شَيْئًا
وَوَجَدَ,ووجد,,
اللَّهَ,,اسم,اللَّهَ
عِنْدَهُ,عنده,,
فَوَفَّاهُ,فوفاه,,
حِسَابَهُ,حسابه,,
وَاللَّهُ,والله,,
سَرِيعُ,سريع,,
الْحِسَابِ,الحساب,اسم,الْحِسَابِ
,او,حرف,أَوْ
,None,اسم,كَظُلُمَاتٍ
,في,حرف_جر,فِي
,None,اسم,بَحْرٍ
,None,اسم,لُجِّيٍّ
يَغْشَاهُ,يغشاه,,
,None,اسم,مَوْجٌ
,,فعل,مِنْ
فَوْقِهِ,فوقه,,
,None,اسم,مَوْجٌ
,,فعل,مِنْ
فَوْقِهِ,فوقه,,
,None,اسم,سَحَابٌ
,None,اسم,ظُلُمَاتٌ
بَعْضُهَا,بعضها,,
فَوْقَ,,اسم,فوق
,None,اسم,بَعْضٍ
إِذَا,اذا,,
أَخْرَجَ,اخرج,,
,يده,فعل,
,,فعل,لَمْ
يَكَدْ,يكد,,
يَرَاهَا,يراها,,
,ومن,حرف_جر,وَمَنْ
,,فعل,لَمْ
يَجْعَلِ,يجعل,,
اللَّهُ,,اسم,اللَّهُ
,له,حرف_جر,لَهُ
,None,اسم,نُورًا
,فما,حرف,فَمَا
,له,حرف_جر,لَهُ
,,فعل,مِنْ
,None,اسم,نُورٍ
أَلَمْ,الم,,
تَرَ,تر,,
,ان,حرف,أَنَّ
اللَّهَ,,اسم,اللَّهَ
يُسَبِّحُ,يسبح,,
,له,حرف_جر,لَهُ
,,فعل,مَنْ
,في,حرف_جر,فِي
,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
وَالطَّيْرُ,والطير,,
,None,اسم,صَافَّاتٍ
,None,اسم,كُلٌّ
,قد,حرف,قَدْ
,علم,فعل,
صَلَاتَهُ,صلاته,,
وَتَسْبِيحَهُ,وتسبيحه,,
وَاللَّهُ,والله,,
,None,اسم,عَلِيمٌ
,بما,حرف_جر,بِمَا
,يفعلون,اسم,يَفْعَلُونَ
وَلِلَّهِ,,اسم,ولله
مُلْكُ,ملك,,
السَّمَاوَاتِ,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
,والي,حرف_جر,وَإِلَى
اللَّهِ,,اسم,اللَّهِ
الْمَصِيرُ,المصير,اسم,الْمَصِيرُ
أَلَمْ,الم,,
تَرَ,تر,,
,ان,حرف,أَنَّ
اللَّهَ,,اسم,اللَّهَ
يُزْجِي,يزجي,,
,None,اسم,سَحَابًا
ثُمَّ,,اسم,ثم
يُؤَلِّفُ,يولف,,
بَيْنَهُ,بينه,,
ثُمَّ,,اسم,ثم
يَجْعَلُهُ,يجعله,,
,None,اسم,رُكَامًا
فَتَرَى,فتري,,
الْوَدْقَ,الودق,اسم,الْوَدْقَ
,يخرج,فعل,
,,فعل,مِنْ
خِلَالِهِ,خلاله,,
وَيُنَزِّلُ,وينزل,,
مِنَ,,اسم,من
السَّمَاءِ,السماء,اسم,السَّمَاءِ
,,فعل,مِنْ
,None,اسم,جِبَالٍ
,فيها,حرف_جر,فِيهَا
,,فعل,مِنْ
,None,اسم,بَرَدٍ
فَيُصِيبُ,فيصيب,,
,به,حرف_جر,بِهِ
,,فعل,مَنْ
يَشَاءُ,يشاء,,
وَيَصْرِفُهُ,ويصرفه,,
,عن,حرف_جر,عَنْ
,,فعل,مَنْ
يَشَاءُ,يشاء,,
يَكَادُ,يكاد,,
,سنا,فعل,
بَرْقِهِ,برقه,,
يَذْهَبُ,يذهب,,
بِالْأَبْصَارِ,بالابصار,,
يُقَلِّبُ,يقلب,,
اللَّهُ,,اسم,اللَّهُ
اللَّيْلَ,الليل,اسم,اللَّيْلَ
وَالنَّهَارَ,والنهار,,
,ان,حرف,إِنَّ
,في,حرف_جر,فِي
ذَٰلِكَ,,اسم,ذلك
,None,اسم,لَعِبْرَةً
لِأُولِي,لاولي,,
الْأَبْصَارِ,الابصار,اسم,الْأَبْصَارِ
وَاللَّهُ,والله,,
,خلق,فعل,
,كل,حرف,كُلَّ
,None,اسم,دَابَّةٍ
,,فعل,مِنْ
,None,اسم,مَاءٍ
فَمِنْهُمْ,فمنهم,,
,,فعل,مَنْ
,يمشي,فعل,
,علي,حرف_جر,عَلَىٰ
,بطنه,اسم,بَطْنِهِ
,ومنهم,حرف_جر,وَمِنْهُمْ
,,فعل,مَنْ
,يمشي,فعل,
,علي,حرف_جر,عَلَىٰ
,رجلين,اسم,رِجْلَيْنِ
,ومنهم,حرف_جر,وَمِنْهُمْ
,,فعل,مَنْ
,يمشي,فعل,
,علي,حرف_جر,عَلَىٰ
,None,اسم,أَرْبَعٍ
يَخْلُقُ,يخلق,,
اللَّهُ,,اسم,اللَّهُ
مَا,,اسم,ما
يَشَاءُ,يشاء,,
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,علي,حرف_جر,عَلَىٰ
,كل,اسم,كُلِّ
,None,اسم,شَيْءٍ
,None,اسم,قَدِيرٌ
,لقد,حرف,لَقَدْ
أَنْزَلْنَا,انزلنا,,
,None,اسم,آيَاتٍ
,None,اسم,مُبَيِّنَاتٍ
وَاللَّهُ,والله,,
,يهدي,فعل,
,,فعل,مَنْ
يَشَاءُ,يشاء,,
إِلَىٰ,الي,,
,None,اسم,صِرَاطٍ
,None,اسم,مُسْتَقِيمٍ
وَيَقُولُونَ,ويقولون,,
آمَنَّا,امنا,,
بِاللَّهِ,بالله,,
وَبِالرَّسُولِ,وبالرسول,,
وَأَطَعْنَا,واطعنا,,
ثُمَّ,,اسم,ثم
يَتَوَلَّىٰ,يتولي,,
,None,اسم,فَرِيقٌ
,منهم,حرف_جر,مِنْهُمْ
,,فعل,مِنْ
بَعْدِ,بعد,,
ذَٰلِكَ,,اسم,ذلك
,وما,حرف,وَمَا
أُولَٰئِكَ,,اسم,اوليك
بِالْمُؤْمِنِينَ,بالمومنين,,
وَإِذَا,واذا,,
دُعُوا,دعوا,,
,الي,حرف_جر,إِلَى
اللَّهِ,,اسم,اللَّهِ
وَرَسُولِهِ,ورسوله,,
لِيَحْكُمَ,ليحكم,,
بَيْنَهُمْ,بينهم,,
إِذَا,اذا,,
,None,اسم,فَرِيقٌ
,منهم,حرف_جر,مِنْهُمْ
,معرضون,اسم,مُعْرِضُونَ
,وان,حرف,وَإِنْ
يَكُنْ,يكن,,
لَهُمُ,لهم,,
الْحَقُّ,,اسم,الْحَقُّ
يَأْتُوا,ياتوا,,
,اليه,حرف_جر,إِلَيْهِ
,مذعنين,اسم,مُذْعِنِينَ
,افي,حرف,أَفِي
قُلُوبِهِمْ,قلوبهم,,
,None,اسم,مَرَضٌ
أَمِ,ام,,
ارْتَابُوا,ارتابوا,,
,ام,حرف,أَمْ
يَخَافُونَ,يخافون,,
,ان,حرف,أَنْ
يَحِيفَ,يحيف,,
اللَّهُ,,اسم,اللَّهُ
,عليهم,حرف_جر,عَلَيْهِمْ
,ورسوله,اسم,وَرَسُولُهُ
,بل,حرف,بَلْ
أُولَٰئِكَ,,اسم,اوليك
هُمُ,,اسم,هم
الظَّالِمُونَ,الظالمون,اسم,الظَّالِمُونَ
,انما,حرف,إِنَّمَا
,كان,فعل,
قَوْلَ,قول,,
الْمُؤْمِنِينَ,المومنين,اسم,الْمُؤْمِنِينَ
إِذَا,اذا,,
دُعُوا,دعوا,,
,الي,حرف_جر,إِلَى
اللَّهِ,,اسم,اللَّهِ
وَرَسُولِهِ,ورسوله,,
لِيَحْكُمَ,ليحكم,,
بَيْنَهُمْ,بينهم,,
,ان,حرف,أَنْ
يَقُولُوا,يقولوا,,
سَمِعْنَا,سمعنا,,
وَأَطَعْنَا,واطعنا,,
وَأُولَٰئِكَ,,اسم,واوليك
هُمُ,,اسم,هم
الْمُفْلِحُونَ,المفلحون,اسم,الْمُفْلِحُونَ
,ومن,حرف_جر,وَمَنْ
,يطع,اسم,يُطِعِ
اللَّهَ,,اسم,اللَّهَ
وَرَسُولَهُ,ورسوله,,
وَيَخْشَ,ويخش,,
اللَّهَ,,اسم,اللَّهَ
وَيَتَّقْهِ,ويتقه,,
فَأُولَٰئِكَ,,اسم,فاوليك
هُمُ,,اسم,هم
الْفَائِزُونَ,الفايزون,اسم,الْفَائِزُونَ
وَأَقْسَمُوا,واقسموا,,
بِاللَّهِ,بالله,,
جَهْدَ,جهد,,
أَيْمَانِهِمْ,ايمانهم,,
لَئِنْ,لين,,
أَمَرْتَهُمْ,امرتهم,,
لَيَخْرُجُنَّ,ليخرجن,,
,قل,فعل,قُلْ
,لا,حرف,لَا
تُقْسِمُوا,تقسموا,,
,None,اسم,طَاعَةٌ
,None,اسم,مَعْرُوفَةٌ
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,None,اسم,خَبِيرٌ
,بما,حرف_جر,بِمَا
,تعملون,اسم,تَعْمَلُونَ
,قل,فعل,قُلْ
أَطِيعُوا,اطيعوا,,
اللَّهَ,,اسم,اللَّهَ
وَأَطِيعُوا,واطيعوا,,
الرَّسُولَ,الرسول,اسم,الرَّسُولَ
,فان,حرف,فَإِنْ
تَوَلَّوْا,تولوا,,
,فانما,حرف,فَإِنَّمَا
,عليه,حرف_جر,عَلَيْهِ
مَا,,اسم,ما
حُمِّلَ,حمل,,
,وعليكم,حرف_جر,وَعَلَيْكُمْ
مَا,,اسم,ما
حُمِّلْتُمْ,حملتم,,
,وان,حرف,وَإِنْ
تُطِيعُوهُ,تطيعوه,,
تَهْتَدُوا,تهتدوا,,
,وما,حرف,وَمَا
,علي,حرف_جر,عَلَى
,الرسول,اسم,الرَّسُولِ
,الا,حرف,إِلَّا
الْبَلَاغُ,البلاغ,اسم,الْبَلَاغُ
الْمُبِينُ,,اسم,الْمُبِينُ
,وعد,فعل,
اللَّهُ,,اسم,اللَّهُ
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
,منكم,حرف_جر,مِنْكُمْ
,وعملوا,اسم,وَعَمِلُوا
الصَّالِحَاتِ,الصالحات,اسم,الصَّالِحَاتِ
لَيَسْتَخْلِفَنَّهُمْ,ليستخلفنهم,,
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
,كما,حرف,كَمَا
اسْتَخْلَفَ,استخلف,,
الَّذِينَ,,اسم,الَّذِينَ
,,فعل,مِنْ
قَبْلِهِمْ,قبلهم,,
وَلَيُمَكِّنَنَّ,وليمكنن,,
,لهم,حرف_جر,لَهُمْ
,دينهم,اسم,دِينَهُمُ
الَّذِي,,اسم,الَّذِي
ارْتَضَىٰ,ارتضي,,
,لهم,حرف_جر,لَهُمْ
,وليبدلنهم,اسم,وَلَيُبَدِّلَنَّهُمْ
,,فعل,مِنْ
بَعْدِ,بعد,,
خَوْفِهِمْ,خوفهم,,
,None,اسم,أَمْنًا
يَعْبُدُونَنِي,يعبدونني,,
,لا,حرف,لَا
يُشْرِكُونَ,يشركون,,
,بي,حرف_جر,بِي
,None,اسم,شَيْئًا
,ومن,حرف_جر,وَمَنْ
,كفر,اسم,كَفَرَ
بَعْدَ,بعد,,
ذَٰلِكَ,,اسم,ذلك
فَأُولَٰئِكَ,,اسم,فاوليك
هُمُ,,اسم,هم
الْفَاسِقُونَ,الفاسقون,اسم,الْفَاسِقُونَ
وَأَقِيمُوا,واقيموا,,
الصَّلَاةَ,,اسم,الصَّلَاةَ
وَآتُوا,واتوا,,
الزَّكَاةَ,,اسم,الزَّكَاةَ
وَأَطِيعُوا,واطيعوا,,
الرَّسُولَ,الرسول,اسم,الرَّسُولَ
لَعَلَّكُمْ,لعلكم,,
تُرْحَمُونَ,ترحمون,,
,لا,حرف,لَا
تَحْسَبَنَّ,تحسبن,,
الَّذِينَ,,اسم,الَّذِينَ
كَفَرُوا,كفروا,,
مُعْجِزِينَ,معجزين,,
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
وَمَأْوَاهُمُ,وماواهم,,
النَّارُ,النار,اسم,النَّارُ
وَلَبِئْسَ,ولبيس,,
الْمَصِيرُ,المصير,اسم,الْمَصِيرُ
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
لِيَسْتَأْذِنْكُمُ,ليستاذنكم,,
الَّذِينَ,,اسم,الَّذِينَ
مَلَكَتْ,ملكت,,
أَيْمَانُكُمْ,ايمانكم,,
وَالَّذِينَ,,اسم,والذين
,,فعل,لَمْ
يَبْلُغُوا,يبلغوا,,
الْحُلُمَ,الحلم,اسم,الْحُلُمَ
,منكم,حرف_جر,مِنْكُمْ
ثَلَاثَ,,اسم,ثلاث
,None,اسم,مَرَّاتٍ
,,فعل,مِنْ
قَبْلِ,قبل,,
صَلَاةِ,صلاه,,
الْفَجْرِ,الفجر,اسم,الْفَجْرِ
وَحِينَ,وحين,,
تَضَعُونَ,تضعون,,
ثِيَابَكُمْ,ثيابكم,,
مِنَ,,اسم,من
الظَّهِيرَةِ,الظهيره,اسم,الظَّهِيرَةِ
,ومن,حرف_جر,وَمِنْ
,بعد,اسم,بَعْدِ
صَلَاةِ,صلاه,,
الْعِشَاءِ,العشاء,اسم,الْعِشَاءِ
ثَلَاثُ,,اسم,ثلاث
,None,اسم,عَوْرَاتٍ
,لكم,حرف_جر,لَكُمْ
,ليس,اسم,لَيْسَ
,عليكم,حرف_جر,عَلَيْكُمْ
,ولا,اسم,وَلَا
,عليهم,حرف_جر,عَلَيْهِمْ
,None,اسم,جُنَاحٌ
بَعْدَهُنَّ,بعدهن,,
طَوَّافُونَ,طوافون,,
,عليكم,حرف_جر,عَلَيْكُمْ
,بعضكم,اسم,بَعْضُكُمْ
,علي,حرف_جر,عَلَىٰ
,None,اسم,بَعْضٍ
كَذَٰلِكَ,,اسم,كذلك
يُبَيِّنُ,يبين,,
اللَّهُ,,اسم,اللَّهُ
لَكُمُ,لكم,,
الْآيَاتِ,الايات,اسم,الْآيَاتِ
وَاللَّهُ,والله,,
,None,اسم,عَلِيمٌ
,None,اسم,حَكِيمٌ
وَإِذَا,واذا,,
,بلغ,فعل,
الْأَطْفَالُ,الاطفال,اسم,الْأَطْفَالُ
,منكم,حرف_جر,مِنْكُمُ
,الحلم,اسم,الْحُلُمَ
فَلْيَسْتَأْذِنُوا,فليستاذنوا,,
,كما,حرف,كَمَا
اسْتَأْذَنَ,استاذن,,
الَّذِينَ,,اسم,الَّذِينَ
,,فعل,مِنْ
قَبْلِهِمْ,قبلهم,,
كَذَٰلِكَ,,اسم,كذلك
يُبَيِّنُ,يبين,,
اللَّهُ,,اسم,اللَّهُ
,لكم,حرف_جر,لَكُمْ
,اياته,اسم,آيَاتِهِ
وَاللَّهُ,والله,,
,None,اسم,عَلِيمٌ
,None,اسم,حَكِيمٌ
وَالْقَوَاعِدُ,والقواعد,,
مِنَ,,اسم,من
النِّسَاءِ,النساء,اسم,النِّسَاءِ
اللَّاتِي,,اسم,اللَّاتِي
,لا,حرف,لَا
يَرْجُونَ,يرجون,,
,None,اسم,نِكَاحًا
فَلَيْسَ,فليس,,
,عليهن,حرف_جر,عَلَيْهِنَّ
,None,اسم,جُنَاحٌ
,ان,حرف,أَنْ
يَضَعْنَ,يضعن,,
ثِيَابَهُنَّ,ثيابهن,,
,غير,حرف,غَيْرَ
,None,اسم,مُتَبَرِّجَاتٍ
,None,اسم,بِزِينَةٍ
,وان,حرف,وَأَنْ
يَسْتَعْفِفْنَ,يستعففن,,
,None,اسم,خَيْرٌ
,لهن,حرف_جر,لَهُنَّ
,والله,اسم,وَاللَّهُ
,None,اسم,سَمِيعٌ
,None,اسم,عَلِيمٌ
,ليس,حرف,لَيْسَ
,علي,حرف_جر,عَلَى
,الاعمي,اسم,الْأَعْمَىٰ
,None,اسم,حَرَجٌ
,ولا,حرف,وَلَا
,علي,حرف_جر,عَلَى
,الاعرج,اسم,الْأَعْرَجِ
,None,اسم,حَرَجٌ
,ولا,حرف,وَلَا
,علي,حرف_جر,عَلَى
,المريض,اسم,الْمَرِيضِ
,None,اسم,حَرَجٌ
,ولا,حرف,وَلَا
,علي,حرف_جر,عَلَىٰ
,انفسكم,اسم,أَنْفُسِكُمْ
,ان,حرف,أَنْ
تَأْكُلُوا,تاكلوا,,
,,فعل,مِنْ
بُيُوتِكُمْ,بيوتكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
آبَائِكُمْ,ابايكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
أُمَّهَاتِكُمْ,امهاتكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
إِخْوَانِكُمْ,اخوانكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
أَخَوَاتِكُمْ,اخواتكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
أَعْمَامِكُمْ,اعمامكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
عَمَّاتِكُمْ,عماتكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
أَخْوَالِكُمْ,اخوالكم,,
,او,حرف,أَوْ
بُيُوتِ,بيوت,,
خَالَاتِكُمْ,خالاتكم,,
,او,حرف,أَوْ
مَا,,اسم,ما
مَلَكْتُمْ,ملكتم,,
مَفَاتِحَهُ,مفاتحه,,
,او,حرف,أَوْ
صَدِيقِكُمْ,صديقكم,,
,ليس,حرف,لَيْسَ
,عليكم,حرف_جر,عَلَيْكُمْ
,None,اسم,جُنَاحٌ
,ان,حرف,أَنْ
تَأْكُلُوا,تاكلوا,,
,None,اسم,جَمِيعًا
,او,حرف,أَوْ
,None,اسم,أَشْتَاتًا
فَإِذَا,فاذا,,
دَخَلْتُمْ,دخلتم,,
,None,اسم,بُيُوتًا
فَسَلِّمُوا,فسلموا,,
,علي,حرف_جر,عَلَىٰ
,انفسكم,اسم,أَنْفُسِكُمْ
,None,اسم,تَحِيَّةً
,,فعل,مِنْ
عِنْدِ,,اسم,عند
اللَّهِ,,اسم,اللَّهِ
,None,اسم,مُبَارَكَةً
,None,اسم,طَيِّبَةً
كَذَٰلِكَ,,اسم,كذلك
يُبَيِّنُ,يبين,,
اللَّهُ,,اسم,اللَّهُ
لَكُمُ,لكم,,
الْآيَاتِ,الايات,اسم,الْآيَاتِ
لَعَلَّكُمْ,لعلكم,,
تَعْقِلُونَ,تعقلون,,
,انما,حرف,إِنَّمَا
الْمُؤْمِنُونَ,المومنون,اسم,الْمُؤْمِنُونَ
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
بِاللَّهِ,بالله,,
وَرَسُولِهِ,ورسوله,,
وَإِذَا,واذا,,
كَانُوا,كانوا,,
,معه,حرف_جر,مَعَهُ
,علي,اسم,عَلَىٰ
,None,اسم,أَمْرٍ
,None,اسم,جَامِعٍ
,,فعل,لَمْ
يَذْهَبُوا,يذهبوا,,
,حتي,حرف_جر,حَتَّىٰ
,يستاذنوه,اسم,يَسْتَأْذِنُوهُ
,ان,حرف,إِنَّ
الَّذِينَ,,اسم,الَّذِينَ
يَسْتَأْذِنُونَكَ,يستاذنونك,,
أُولَٰئِكَ,,اسم,اوليك
الَّذِينَ,,اسم,الَّذِينَ
يُؤْمِنُونَ,يومنون,,
بِاللَّهِ,بالله,,
وَرَسُولِهِ,ورسوله,,
فَإِذَا,فاذا,,
اسْتَأْذَنُوكَ,استاذنوك,,
لِبَعْضِ,لبعض,,
شَأْنِهِمْ,شانهم,,
فَأْذَنْ,فاذن,,
,لمن,حرف_جر,لِمَنْ
,شيت,اسم,شِئْتَ
,منهم,حرف_جر,مِنْهُمْ
,واستغفر,اسم,وَاسْتَغْفِرْ
لَهُمُ,لهم,,
اللَّهَ,,اسم,اللَّهَ
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,None,اسم,غَفُورٌ
,None,اسم,رَحِيمٌ
,لا,حرف,لَا
تَجْعَلُوا,تجعلوا,,
دُعَاءَ,دعاء,,
الرَّسُولِ,الرسول,اسم,الرَّسُولِ
بَيْنَكُمْ,بينكم,,
كَدُعَاءِ,كدعاء,,
بَعْضِكُمْ,بعضكم,,
,None,اسم,بَعْضًا
,قد,حرف,قَدْ
يَعْلَمُ,يعلم,,
اللَّهُ,,اسم,اللَّهُ
الَّذِينَ,,اسم,الَّذِينَ
يَتَسَلَّلُونَ,يتسللون,,
,منكم,حرف_جر,مِنْكُمْ
,None,اسم,لِوَاذًا
فَلْيَحْذَرِ,فليحذر,,
الَّذِينَ,,اسم,الَّذِينَ
يُخَالِفُونَ,يخالفون,,
,عن,حرف_جر,عَنْ
,امره,اسم,أَمْرِهِ
,ان,حرف,أَنْ
تُصِيبَهُمْ,تصيبهم,,
,None,اسم,فِتْنَةٌ
,او,حرف,أَوْ
يُصِيبَهُمْ,يصيبهم,,
,None,اسم,عَذَابٌ
,None,اسم,أَلِيمٌ
,الا,فعل,
,ان,حرف,إِنَّ
لِلَّهِ,,اسم,لله
مَا,,اسم,ما
,في,حرف_جر,فِي
,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
,قد,حرف,قَدْ
يَعْلَمُ,يعلم,,
مَا,,اسم,ما
أَنْتُمْ,,اسم,انتم
,عليه,حرف_جر,عَلَيْهِ
,ويوم,اسم,وَيَوْمَ
يُرْجَعُونَ,يرجعون,,
,اليه,حرف_جر,إِلَيْهِ
,فينبيهم,اسم,فَيُنَبِّئُهُمْ
,بما,حرف_جر,بِمَا
,عملوا,اسم,عَمِلُوا
وَاللَّهُ,والله,,
بِكُلِّ,بكل,,
,None,اسم,شَيْءٍ
,None,اسم,عَلِيمٌ
بِسْمِ,بسم,,
اللَّهِ,,اسم,اللَّهِ
الرَّحْمَٰنِ,,اسم,الرَّحْمَٰنِ
الرَّحِيمِ,,اسم,الرَّحِيمِ
تَبَارَكَ,تبارك,,
الَّذِي,,اسم,الَّذِي
نَزَّلَ,نزل,,
الْفُرْقَانَ,الفرقان,اسم,الْفُرْقَانَ
,علي,حرف_جر,عَلَىٰ
,عبده,اسم,عَبْدِهِ
لِيَكُونَ,ليكون,,
لِلْعَالَمِينَ,للعالمين,,
